run,stress_MBD,stress_DDD
62,2.148578367337884,1.3608837165246745
63,2.548594826206701,1.5613532830256778
64,2.2962707745665165,1.5569708392286483
65,2.76792515474389,1.7616634963994147
66,2.455833327196773,1.3211527674781165
67,2.2410014956492366,1.2135119513454877
68,2.4005017924512804,1.7383547271465416
69,2.3297979476711683,1.5846472840130972
70,2.496039726091819,1.4407373600839564
71,1.6098621442765975,1.1729475457637628
72,1.1073005536272262,1.2989655408275615
73,2.477782992006954,1.367339752514795
74,2.204175590283287,1.3695133187839297
75,1.029606918952879,1.2913000109978445
76,1.1982998154536844,1.333977626718596
77,1.4367761689789929,1.3806283577169476
78,1.604207508162241,1.5372726102058083
79,2.0733785246519827,1.3742516137445109
80,1.8643888309103518,1.3157268933017745
81,1.341690836175821,1.4315804884823928
82,1.3198561016718955,1.2912658029823663
83,1.3421490638969875,1.355992411408329
84,1.793325157897374,1.5035777091307285
85,1.4266013599884688,1.20018481745531
86,1.2749107358096947,1.28343424326517
87,1.4986402925514464,1.3926490086266952
88,1.6561899450533257,1.375837095286246
89,1.8826395296742053,1.3177031634575742
90,1.5257053995690693,1.3360870979023516
91,1.4702319202088607,1.575860596404055
92,1.6702768086928714,1.408989074759115
93,2.004000422339359,1.4528144371877478
94,1.0667756009961737,1.4875529989930523
95,1.108321559939607,1.4194831643416195
96,1.6749784438797897,1.1667707426170522
97,1.4832168671017356,1.4459340058203405
98,1.0426499657686419,1.1392098734951686
99,1.1886461109295698,1.3398984921342452
100,1.2444933136547902,1.175452827356565
101,1.3373332078140987,1.3912319518953336
102,1.1830640127626502,1.2926636044900643
103,1.0261696801680122,1.226699027229151
104,1.5240185320948068,1.3396360885799437
105,1.0162179630531496,1.4920941001742665
106,1.8260716737493887,1.2321320216102183
107,1.0075726472827389,1.2878241889356776
108,2.0808907638754675,1.4691821336206827
109,2.873924386010033,1.264715968759598
110,2.392150175082436,1.2499238600690876
111,1.3434748722418073,1.3412658415127374
112,1.7006091546059372,1.3750747720368706
113,1.764544406494428,1.4549324639935184
114,1.1883454683370858,1.3061862251583847
115,1.6169326435252334,1.51107295666069
116,1.1629297084747519,1.4311943728023024
117,1.9308511341348438,1.3487557837120574
