x1,x2,x3,x4,u1,u2,y1,y2,z1,z2,z3
0.6804081159896873,-0.502123207335867,0.8765533667838951,0.8730961959463156,-0.21959304637195617,-0.4271156204610688,0.6804081159896873,-0.502123207335867,0.6694284636710895,-0.5234789883589205,0.8765533667838951
0.8008924115892436,-0.7670920735166556,1.1644849013102756,0.9694848247851015,-0.349165522036732,-0.49395996647794344,0.8008924115892436,-0.7670920735166556,0.783434135487407,-0.7917900718405528,1.1644849013102756
0.8123495600129389,-0.9273501404748364,1.5920581502088413,0.9433351082311106,-0.4345451931423106,-0.5096500651652582,0.8123495600129389,-0.9273501404748364,0.7906223003558234,-0.9528326437330994,1.5920581502088413
0.8400094505829142,-1.148403769505363,2.146404876400524,0.9487818747911204,-0.45003908904077006,-0.47387324103560297,0.8400094505829142,-1.148403769505363,0.8175074961308757,-1.1720974315571433,2.146404876400524
0.8396061514533246,-1.3586775188852054,2.5165585585250345,1.039830644423235,-0.39355452089252546,-0.3971599432399093,0.8396061514533246,-1.3586775188852054,0.8199284254086984,-1.3785355160472008,2.5165585585250345
0.8287395098685629,-1.5071228812645983,2.815401969297015,1.1240398418961626,-0.28813031200848127,-0.2985520100560848,0.8287395098685629,-1.5071228812645983,0.8143329942681389,-1.5220504817674025,2.815401969297015
0.7267101598096736,-1.4758354201036614,2.8342460609384976,1.163124065748169,-0.17495326134273778,-0.20147898019161142,0.7267101598096736,-1.4758354201036614,0.7179624967425366,-1.485909369113242,2.8342460609384976
0.5596559234334313,-1.2681750996820926,2.8090289387573772,1.056264605932618,-0.10005920382090759,-0.1287275641566822,0.5596559234334313,-1.2681750996820926,0.5546529632423859,-1.2746114778899267,2.8090289387573772
0.48605948351950623,-1.1773640325448602,2.5790954105699364,1.108946061800283,-0.09901347561999796,-0.09758186348383262,0.48605948351950623,-1.1773640325448602,0.48110880973850634,-1.1822431257190518,2.5790954105699364
0.3665039749315222,-0.9925831013523277,2.468102729040099,1.0146529922535807,-0.1845658184661336,-0.11617246671620811,0.3665039749315222,-0.9925831013523277,0.3572756840082155,-0.9983917246881382,2.468102729040099
0.26626423132448834,-0.8855768848845579,2.4307124417517283,0.9393311746226415,-0.3413522267497785,-0.18180989095999778,0.26626423132448834,-0.8855768848845579,0.2491966199869994,-0.8946673794325578,2.4307124417517283
0.263772132376598,-1.0008982975132545,2.4927495569058133,1.0060053573832708,-0.5294705596382495,-0.28164889133551624,0.263772132376598,-1.0008982975132545,0.23729860439468553,-1.0149807420800303,2.4927495569058133
0.25525007995219434,-1.1538192543622343,2.9198745872607192,0.971981969437056,-0.6959155064892416,-0.39552768632551644,0.25525007995219434,-1.1538192543622343,0.22045430462773224,-1.1735956386785102,2.9198745872607192
0.27670191432819463,-1.4575108020019347,3.1454957814061952,1.1516713057819625,-0.7903397624609617,-0.5003586577148001,0.27670191432819463,-1.4575108020019347,0.23718492620514653,-1.4825287348876748,3.1454957814061952
0.3344875366416598,-1.7706150502744131,3.6699183606364083,1.2462806407491096,-0.7802224610083878,-0.57511536630603,0.3344875366416598,-1.7706150502744131,0.29547641359124044,-1.7993708185897146,3.6699183606364083
0.48365967504700197,-2.147968006767975,4.365521954217175,1.3717338027523631,-0.6607142374779527,-0.6053360578026734,0.48365967504700197,-2.147968006767975,0.4506239631731043,-2.178234809658109,4.365521954217175
0.5142297976559661,-2.2973436198186845,4.692181198834525,1.4698305094203505,-0.4561223722112901,-0.5861726225341829,0.5142297976559661,-2.2973436198186845,0.4914236790454016,-2.3266522509453935,4.692181198834525
0.5933616087007273,-2.3909344764993152,4.7673270181816605,1.6278367474952606,-0.21264678387736544,-0.5233321205225223,0.5933616087007273,-2.3909344764993152,0.582729269506859,-2.4171010825254413,4.7673270181816605
0.703541929929946,-2.3685607651889846,4.810133912228716,1.7079224152192156,0.015276423745606903,-0.4317162010547796,0.703541929929946,-2.3685607651889846,0.7043057511172264,-2.3901465752417237,4.810133912228716
0.7890087199663162,-2.2568074184017743,4.330184054380688,1.8974669667535045,0.18070113404193858,-0.3320626369288732,0.7890087199663162,-2.2568074184017743,0.7980437766684131,-2.273410550248218,4.330184054380688
0.8043529261698381,-1.9520906238682447,3.8723116054616336,1.8849408380706576,0.2570770948682403,-0.24632482235531072,0.8043529261698381,-1.9520906238682447,0.8172067809132502,-1.9644068649860102,3.8723116054616336
0.902647934211875,-1.7744335657440962,3.387957245552345,1.96368211589386,0.24443916053734396,-0.19279634374273366,0.902647934211875,-1.7744335657440962,0.9148698922387422,-1.7840733829312327,3.387957245552345
0.8674479853727488,-1.4531112029948186,2.9310864297966974,1.8753070505324645,0.16719657041612704,-0.18204044813006381,0.8674479853727488,-1.4531112029948186,0.8758078138935551,-1.4622132254013218,2.9310864297966974
0.9125602612368345,-1.3252358997352558,2.6101186114245745,1.8741046934108927,0.0645421123098004,-0.2145076464377071,0.9125602612368345,-1.3252358997352558,0.9157873668523245,-1.3359612820571412,2.6101186114245745
0.9299999591879385,-1.2516706469809447,2.2379283790380624,1.9152108822468445,-0.0231819535995233,-0.280357645899505,0.9299999591879385,-1.2516706469809447,0.9288408615079624,-1.26568852927592,2.2379283790380624
0.9380591509460895,-1.1702681681307319,2.2390755722670646,1.798034614240497,-0.06763170273605076,-0.3615242066089106,0.9380591509460895,-1.1702681681307319,0.934677565809287,-1.1883443784611774,2.2390755722670646
0.8951470871683731,-1.0651895033725014,2.168474420920038,1.6828775418353452,-0.06088859965015859,-0.43557689580616227,0.8951470871683731,-1.0651895033725014,0.8921026571858651,-1.0869683481628094,2.168474420920038
1.0716315899955697,-1.2491700236991194,2.297195702942144,1.7543329602862012,-0.01658996996991386,-0.4805467679962768,1.0716315899955697,-1.2491700236991194,1.070802091497074,-1.2731973620989332,2.297195702942144
1.1554877480029693,-1.2787770882463447,2.403245345382047,1.7215555624354475,0.036354590964824275,-0.47967694284917745,1.1554877480029693,-1.2787770882463447,1.1573054775512104,-1.3027609353888037,2.403245345382047
1.2310443025517155,-1.2729638452745486,2.6208844622628265,1.6355734420195729,0.06513462622170393,-0.4250777013583827,1.2310443025517155,-1.2729638452745486,1.2343010338628007,-1.2942177303424678,2.6208844622628265
1.210206831600797,-1.1743739338047903,2.6925938100124727,1.535598905324376,0.045538965453778314,-0.31950417206064835,1.210206831600797,-1.1743739338047903,1.212483779873486,-1.1903491424078227,2.6925938100124727
1.181097911587744,-1.1564907950460728,2.465351406899949,1.611735135488,-0.028676940105201266,-0.175880576276599,1.181097911587744,-1.1564907950460728,1.1796640645824839,-1.1652848238599027,2.465351406899949
1.0913053894644045,-1.0959473193650322,2.379632278934383,1.5876951466952642,-0.14271262899681614,-0.014680058675475924,1.0913053894644045,-1.0959473193650322,1.0841697580145637,-1.096681322298806,2.379632278934383
0.8110703024894922,-0.8788072839342167,2.1031656059785635,1.4776995589235533,-0.26495920056646693,0.1402716168426793,0.8110703024894922,-0.8788072839342167,0.7978223424611688,-0.8717937030920827,2.1031656059785635
0.5909883636427249,-0.7901513262378981,2.1233524261635144,1.3494289475386307,-0.35713436898488843,0.26666564749503335,0.5909883636427249,-0.7901513262378981,0.5731316451934805,-0.7768180438631465,2.1233524261635144
0.29792515080696835,-0.6615437597475785,2.058984071881123,1.206844259189299,-0.3869490385722935,0.3482117239213941,0.29792515080696835,-0.6615437597475785,0.27857769887835365,-0.6441331735515088,2.058984071881123
-0.00820992379236224,-0.5086770956202216,1.9241086278880717,1.05402468937798,-0.33911259627337326,0.3778165427091925,-0.00820992379236224,-0.5086770956202216,-0.025165553606030903,-0.4897862684847619,1.9241086278880717
-0.2895815696845564,-0.31225342837462117,1.7818554877720294,0.8524813019492823,-0.22103978221821918,0.3587755022811229,-0.2895815696845564,-0.31225342837462117,-0.3006335587954674,-0.294314653260565,1.7818554877720294
-0.5119991116528737,-0.09171975894846068,1.5377151239138318,0.6564065543163842,-0.06136173475746515,0.30374568650363243,-0.5119991116528737,-0.09171975894846068,-0.515067198390747,-0.07653247462327906,1.5377151239138318
-0.456988506957781,-0.13443197862093506,1.2717322412079926,0.6956267294790226,0.09831329789802919,0.23174679098081075,-0.456988506957781,-0.13443197862093506,-0.4520728420628795,-0.12284463907189452,1.2717322412079926
-0.44693846848796576,0.0005239376365294632,0.8292618832050073,0.6467474356792784,0.2157675052692967,0.16385831315105118,-0.44693846848796576,0.0005239376365294632,-0.43615009322450093,0.008716853294082023,0.8292618832050073
-0.41117047193364725,0.2059781337695956,0.6074373536319,0.4523191168543379,0.26074149159900895,0.11855556339624002,-0.41117047193364725,0.2059781337695956,-0.3981333973536968,0.21190591193940758,0.6074373536319
-0.35379352261189617,0.34781887308072373,0.23046918088773305,0.3681915659051309,0.2237509968090008,0.10769579478942541,-0.35379352261189617,0.34781887308072373,-0.3426059727714461,0.353203662820195,0.23046918088773305
-0.30496525532973084,0.4506960413115947,-0.07948806808484452,0.2871910684437741,0.11844714998942439,0.13401574177898373,-0.30496525532973084,0.4506960413115947,-0.2990428978302596,0.45739682840054385,-0.07948806808484452
-0.2559583360506079,0.46968159003788984,-0.17310548237330375,0.20007499639168635,-0.02309167080713041,0.19066721356775476,-0.2559583360506079,0.46968159003788984,-0.25711291959096444,0.47921495071627757,-0.17310548237330375
-0.20577325456289533,0.3704987661957356,-0.10701360417153867,0.16833037878505835,-0.1604988335376039,0.26287185663932205,-0.20577325456289533,0.3704987661957356,-0.21379819623977553,0.38364235902770166,-0.10701360417153867
-0.359365594452998,0.4618820427660531,0.057526704472447676,-0.05323216110013705,-0.25737444103988466,0.33131692291877557,-0.359365594452998,0.4618820427660531,-0.3722343165049922,0.47844788891199186,0.057526704472447676
-0.507710541151352,0.4517727163742451,0.11344149293269579,-0.14123374122134166,-0.29176469881141903,0.37654018983184384,-0.507710541151352,0.4517727163742451,-0.5222987760919229,0.4705997258658373,0.11344149293269579
-0.6722724203215475,0.4706158195560745,0.21756171618287967,-0.26656397964109246,-0.26165842612981643,0.3833440947294876,-0.6722724203215475,0.4706158195560745,-0.6853553416280384,0.4897830242925489,0.21756171618287967
